Comparing channel(s) YUV

           Mean               Max    Max             
         Absolute     Mean    Pos.   Neg.            
 Frame     Dev.       Dev.    Dev.   Dev.  PSNR (dB) 
   327    4.6792    -4.6089    5    -219     18.8841
   328    4.6792    -4.6089    5    -219     18.8841
   329    4.6792    -4.6089    5    -219     18.8841
   330    4.6792    -4.6089    5    -219     18.8841
   331    4.6792    -4.6089    5    -219     18.8841
   332    4.6792    -4.6089    5    -219     18.8841
   333    4.6792    -4.6089    5    -219     18.8841
   334    4.6793    -4.6090    7    -219     18.8841
   335    4.6796    -4.6090    6    -220     18.8841
   336    4.6795    -4.6091    6    -219     18.8842
   337    4.6795    -4.6094    7    -219     18.8841
   338    4.6793    -4.6090    6    -219     18.8841
   339    4.6793    -4.6091    6    -219     18.8840
   340    0.0000    +0.0000    0      0     96.9160
   341    0.0000    +0.0000    0      0     96.9160
   342    0.0000    +0.0000    0      0     96.9160
   343    0.0000    +0.0000    0      0     96.9160
   344    0.0000    +0.0000    0      0     96.9160
   345    0.0000    +0.0000    0      0     96.9160
   346    0.0000    +0.0000    0      0     96.9160
   347    0.0000    +0.0000    0      0     96.9160
   348    0.0000    +0.0000    0      0     96.9160
   349    0.0000    +0.0000    0      0     96.9160
   350    0.0000    +0.0000    0      0     96.9160
   351    0.0000    +0.0000    0      0     96.9160
   352    0.0000    +0.0000    0      0     96.9160
   353    0.0000    +0.0000    0      0     96.9160
   354    0.0000    +0.0000    0      0     96.9160
   355    0.0000    +0.0000    0      0     96.9160
   356    0.0000    +0.0000    0      0     96.9160
   357    0.0000    +0.0000    0      0     96.9160
   358    0.0000    +0.0000    0      0     96.9160
   359    0.0000    +0.0000    0      0     96.9160
   360    0.0000    +0.0000    0      0     96.9160
   361    0.0000    +0.0000    0      0     96.9160
   362    0.0000    +0.0000    0      0     96.9160
   363    0.0000    +0.0000    0      0     96.9160
   364    0.0000    +0.0000    0      0     96.9160
   365    0.0000    +0.0000    0      0     96.9160
   366    0.0000    +0.0000    0      0     96.9160
   367    0.0000    +0.0000    0      0     96.9160
   368    0.0000    +0.0000    0      0     96.9160
   369    0.0000    +0.0000    0      0     96.9160
   370    0.0000    +0.0000    0      0     96.9160
   371    0.0000    +0.0000    0      0     96.9160
   372    0.0000    +0.0000    0      0     96.9160
   373    0.0000    +0.0000    0      0     96.9160
   374    0.0000    +0.0000    0      0     96.9160
   375    0.0000    +0.0000    0      0     96.9160
   376    0.0000    +0.0000    0      0     96.9160
   377    0.0000    +0.0000    0      0     96.9160
   378    0.0000    +0.0000    0      0     96.9160
   379    0.0000    +0.0000    0      0     96.9160
   380    0.0000    +0.0000    0      0     96.9160
   381    0.0000    +0.0000    0      0     96.9160
   382    0.0000    +0.0000    0      0     96.9160
   383    2.6495    -1.2149   34    -179     23.1577
   384    2.6493    -1.2167   34    -179     23.1557
   385    2.6492    -1.2120   34    -179     23.1621
   386    2.6496    -1.2138   34    -179     23.1597
   387    2.6492    -1.2156   34    -179     23.1575
   388    2.6494    -1.2156   34    -179     23.1580
   389    2.6494    -1.2154   34    -179     23.1585
   390    2.6496    -1.2130   34    -179     23.1613
   391    2.6508    -1.2097   34    -179     23.1623
   392    2.6505    -1.2081   34    -179     23.1674
   393    2.6508    -1.2067   34    -179     23.1680
   394    2.6505    -1.2048   34    -179     23.1699
   395    2.6508    -1.2042   34    -178     23.1717
   396    2.6509    -1.2046   34    -179     23.1695
   397    2.6507    -1.2034   34    -178     23.1714
   398    2.6514    -1.2037   34    -178     23.1693
   399    2.6528    -1.1991   34    -178     23.1725
   400    2.6518    -1.1990   35    -178     23.1761
   401    2.6514    -1.1991   34    -178     23.1759
   402    2.6511    -1.1992   35    -178     23.1768
   403    2.6520    -1.1954   35    -178     23.1798
   404    2.6525    -1.1950   35    -178     23.1797
   405    2.6520    -1.1935   35    -178     23.1837
   406    2.6518    -1.1940   35    -178     23.1855
   407    2.6523    -1.1929   35    -178     23.1843
   408    2.6525    -1.1925   35    -178     23.1845
   409    2.6521    -1.1891   34    -178     23.1905
   410    2.6531    -1.1879   35    -178     23.1892
   411    2.6516    -1.1850   35    -178     23.1973
   412    2.6526    -1.1821   35    -178     23.1990
   413    2.6529    -1.1821   35    -178     23.1983
   414    2.6544    -1.1782   35    -177     23.2025
   415    2.6540    -1.1752   35    -178     23.2080
   416    2.6554    -1.1719   35    -178     23.2079
   417    2.6549    -1.1679   36    -178     23.2139
   418    2.6552    -1.1628   37    -177     23.2211
   419    2.6551    -1.1563   36    -178     23.2317
   420    2.6573    -1.1485   37    -177     23.2378
   421    2.6576    -1.1440   37    -177     23.2442
   422    2.6596    -1.1377   38    -177     23.2490
   423    2.6601    -1.1360   38    -177     23.2507
   424    0.0000    +0.0000    0      0     96.9160
   425    0.0000    +0.0000    0      0     96.9160
   426    0.0000    +0.0000    0      0     96.9160
   427    0.0000    +0.0000    0      0     96.9160
   428    9.6356    -3.9463  122    -178     17.7180
   429    9.6353    -3.9315  120    -179     17.7223
   430    9.6361    -3.8834  120    -178     17.7349
   431    9.6338    -3.8648  123    -178     17.7422
   432    9.6381    -3.8192  121    -179     17.7530
   433    9.6494    -3.7904  121    -179     17.7559
   434    9.6551    -3.7366  122    -180     17.7665
   435    9.6664    -3.6943  123    -179     17.7693
   436    9.6841    -3.6029  136    -179     17.7798
   437    9.7193    -3.4974  144    -180     17.7851
   438    9.7487    -3.3340  148    -180     17.7965
   439    9.7640    -3.1449  150    -180     17.8236
   440    9.7733    -2.9226  151    -179     17.8561
   441    9.8310    -2.6556  153    -179     17.8616
   442    9.8875    -2.3630  154    -176     17.8817
   443    9.9610    -2.0678  155    -176     17.8769
   444   10.0348    -1.7401  164    -175     17.8601
   445   10.0903    -1.4715  167    -175     17.8429
   446   10.0965    -1.2373  169    -174     17.8597
   447   10.1204    -1.0036  169    -174     17.8721
   448   10.1672    -0.8224  169    -174     17.8528
   449   10.1885    -0.6854  169    -175     17.8468
   450   10.1937    -0.5285  169    -174     17.8667
   451   10.2315    -0.3324  170    -173     17.8555
   452   10.2558    -0.1301  170    -174     17.8642
   453   10.2649    +0.0965  170    -173     17.8894
   454   10.2976    +0.3634  171    -173     17.9011
   455   10.3088    +0.5376  171    -173     17.9169
   456   10.3021    +0.6870  171    -172     17.9511
   457   10.3180    +0.8717  173    -171     17.9634
   458   10.3277    +1.0179  173    -171     17.9728
   459   10.3631    +1.1433  173    -172     17.9585
   460   10.3960    +1.2432  174    -172     17.9383
   461   10.4148    +1.3586  174    -171     17.9383
   462   10.4065    +1.5033  173    -171     17.9612
   463   10.4187    +1.6861  174    -171     17.9659
   464   10.4103    +1.7883  174    -171     17.9882
   465   10.4390    +1.9426  174    -170     17.9801
   466   10.4708    +2.0896  174    -170     17.9667
   467   10.4512    +2.1362  174    -168     17.9955
   468   10.4258    +2.1796  174    -167     18.0299
   469   10.4312    +2.1845  174    -161     18.0264
   470   10.4810    +2.2430  174    -157     17.9927
   471   10.4826    +2.2483  174    -153     17.9985
   472   10.4848    +2.2462  174    -155     17.9953
   473   10.4864    +2.2076  174    -154     17.9757
   474   10.5040    +2.2733  175    -152     17.9518
   475   10.5023    +2.2682  174    -152     17.9404
   476   10.5005    +2.2556  175    -152     17.9329
   477   10.5004    +2.2322  175    -152     17.9303
   478   10.5042    +2.2285  175    -153     17.9268
   479   10.5205    +2.2990  176    -152     17.9191
   480   10.5257    +2.3641  176    -152     17.9168
   481   10.5209    +2.3738  177    -152     17.9183
   482   10.5262    +2.4056  178    -152     17.9128
   483   10.5287    +2.3966  178    -152     17.9052
   484   10.5504    +2.4601  178    -151     17.8973
   485   10.5527    +2.4494  178    -152     17.8966
   486   10.5697    +2.5123  177    -152     17.8931
   487   10.5651    +2.4721  177    -152     17.9018
   488   10.5977    +2.5430  177    -150     17.8981
   489   10.5808    +2.5540  177    -150     17.9288
   490   10.6671    +2.6054  178    -149     17.8758
   491   10.7580    +2.6435  177    -148     17.8194
   492   10.7502    +2.7205  176    -146     17.8315
   493    0.0000    +0.0000    0      0     96.9160
   494    0.0000    +0.0000    0      0     96.9160
   495    0.0000    +0.0000    0      0     96.9160
   496    0.0000    +0.0000    0      0     96.9160
   497    0.0000    +0.0000    0      0     96.9160
   498    0.0000    +0.0000    0      0     96.9160
   499    0.0000    +0.0000    0      0     96.9160
   500    0.0000    +0.0000    0      0     96.9160
   501    0.0000    +0.0000    0      0     96.9160
